PI,Do,intensity,exposure_time,cured_height
0.0,0.31034482758620685,0.0,0.0,0.0
0.0,0.31034482758620685,0.0,0.016666666666666666,0.0
0.0,0.31034482758620685,0.0,0.03333333333333333,0.0
0.0,0.31034482758620685,0.0,0.05,0.0
0.0,0.31034482758620685,0.0,0.06666666666666667,0.0
0.0,0.31034482758620685,0.0,0.08333333333333334,0.0
0.0,0.31034482758620685,0.0,0.1,0.0
0.0,0.31034482758620685,0.0,0.11666666666666667,0.0
0.0,0.31034482758620685,0.0,0.13333333333333333,0.0
0.0,0.31034482758620685,0.0,0.15000000000000002,0.0
0.0,0.31034482758620685,0.0,0.16666666666666669,0.0
0.0,0.31034482758620685,0.0,0.18333333333333335,0.0
0.0,0.31034482758620685,0.0,0.2,0.0
0.0,0.31034482758620685,0.0,0.21666666666666667,0.0
0.0,0.31034482758620685,0.0,0.23333333333333334,0.0
0.0,0.31034482758620685,0.0,0.25,0.0
0.0,0.31034482758620685,0.0,0.26666666666666666,0.0
0.0,0.31034482758620685,0.0,0.2833333333333333,0.0
0.0,0.31034482758620685,0.0,0.30000000000000004,0.0
0.0,0.31034482758620685,0.0,0.3166666666666667,0.0
0.0,0.31034482758620685,0.0,0.33333333333333337,0.0
0.0,0.31034482758620685,0.0,0.35000000000000003,0.0
0.0,0.31034482758620685,0.0,0.3666666666666667,0.0
0.0,0.31034482758620685,0.0,0.38333333333333336,0.0
0.0,0.31034482758620685,0.0,0.4,0.0
0.0,0.31034482758620685,0.0,0.4166666666666667,0.0
0.0,0.31034482758620685,0.0,0.43333333333333335,0.0
0.0,0.31034482758620685,0.0,0.45,0.0
0.0,0.31034482758620685,0.0,0.4666666666666667,0.0
0.0,0.31034482758620685,0.0,0.48333333333333334,0.0
0.0,0.31034482758620685,0.0,0.5,0.0
0.0,0.31034482758620685,0.0,0.5166666666666667,0.0
0.0,0.31034482758620685,0.0,0.5333333333333333,0.0
0.0,0.31034482758620685,0.0,0.55,0.0
0.0,0.31034482758620685,0.0,0.5666666666666667,0.0
0.0,0.31034482758620685,0.0,0.5833333333333334,0.0
0.0,0.31034482758620685,0.0,0.6000000000000001,0.0
0.0,0.31034482758620685,0.0,0.6166666666666667,0.0
0.0,0.31034482758620685,0.0,0.6333333333333334,0.0
